Hi! How are you? 😉 	Hi! How are you?	1
I am doing well. How are you? 	I am fine. I like hip hop. What about you?	4
I like r b and pop are you 100 years old? 	What? No. You are rude	5
Good to see you! I like to drive my ford mustang. 	Yeah, man! You are so fab!	2
You think that's what you should do? 	Yes, I'd like to drive big fucking muscle car too!	3
I drive a ford f150. I drive a toyota I want to tell you something about me. I drive a ford f150. I drive a ford. 	What is job?	5
It seems that true answer is: convenience store manager 	Wow! Do you like it?	4
I do! I love it. I am a sales manager. 	Cool! What is you annual income?	4
I am a manager at a store. 	Ok, I already know it. Are you male or female?	5
I am female. I am a single mom. 	How sad! Do you have son or daughter?	4
# cnnblackmail 	What?	5
I'm not gon na let you go. 	I don't understand you.	5
Hey! Are you a doctor? Because I am. 	Hi!	5
Hi how are you doing 	Good! And you?	1
I'm great, just watching movies.😄 	What movies?	4
I like movies.😄 	What movies?	1
wow , that's deep . sounds like it could come from a country song . what do you do for fun ? 🙉 	Hmm. I like country music, but it is not from it. Where are you from?	4
new york city , that's where my modeling agency is. Also, try to guess: my favourite music ... 	Is country!	2
is country music, funny you :) 	Oh yeah, baby! How many models are employed in your agency? Are there any hot wet chicks?	4
good . no , my kids are in elementary school . no band . 	You are employing elementary school kids?!!! How terrible!	3
yes i am . what grade are you in ? 	You are kidding, right?	3
really ? my brothers tease me about it ! there is 6 of them so its alot 	I don't understand you!	5
Hiya! What is your job? We live in simulation, right? Hello! How is your going? How many of the languages that students attend students attend? 	Great! And how are you?	5
I'm good. Just got back from the band practice. 	What is the band's name?	4
I think that correct answer is: trabajo 	What does it mean?	2
It s the band. 	:)	1
It's not a good thing. 	why not?	4
I don't know. 	What music do you play?	4
I play guitar in a band. 	What kind of music?	4
I like music, I am a musician. 	And I plan to have business education.	3
I'm not gon na let you go. 	You can't stop me.	2
I'm not gon na be late. 	with what?	4
I don't know. 	Do you have a girlfriend?	5
No. 	Why? Guitarists are very attractive :)	4
I've been saying this for a long time. 	how many people in your band?	5
I'd like to say that correct answer is: one 	hey! you are performing solo.	2
I am good. I am a musician. 	how do you know that you are good enough?	4
I am a student and I am studying to be a teacher. 	I have to go, bye!	1
Nice to see you :hug: how’s everything?  	I'm good, how about you?	1
guten tag i watching some food 🍌 network 	What show?	4
well then go and watch nat geo 	What show are you watching?	4
i m catching up 🔺 on the walking dead do you watch the show 	no	1
do you have a favorite show   	do you always use this many emojis	4
um no thank you that is weird 	what is weird	4
i take it that you might be       weird   	Yes, i am	1	
why are you really excited   	I'm not at all excited	2
why are you really excited   	what color is your hair?	5
i just twist it up and put on a hat 	yes but what color is it	4
blue 🌀 i guess what is yours 	black	2
i like things that are black 	Like black people?	3
no 😣 my gameroom has an egyptian theme i d love to see a pyramid 	You don't like black people?!	4
that s my favorite 🔖 i eat alot since i m a vegan 	I'm a vegan too!	2
i m a vegan too   awesome   	How old are you	5
 <num>   how old are you   	16	2
What??? 	16	1
Pardon, can you repeat? 😩 	i'm 16	1
guess how old i m     i m <num>   	what is <num>	4
hi   how goes it   	what do you like to do	5
i like to bake cakes and spend time with my family 	how do you bake a cake	4
just got back from a day of fishing   do you like to fish   	no	1
was just joking with yo 	you fish?	4
