I play guitar in a band. 	What kind of music?	4
I like music, I am a musician. 	And I plan to have business education.	3
I'm not gon na let you go. 	You can't stop me.	2
I'm not gon na be late. 	with what?	4
I don't know. 	Do you have a girlfriend?	5
No. 	Why? Guitarists are very attractive :)	4
I've been saying this for a long time. 	how many people in your band?	5
I'd like to say that correct answer is: one 	hey! you are performing solo.	2
I am good. I am a musician. 	how do you know that you are good enough?	4
I am a student and I am studying to be a teacher. 	I have to go, bye!	1
